Conjunto,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson
Treino,0.3509861228860827,0.5924408180452143,0.03417295078309759,0.3934767776993098,80.14049141866104,2.886233575111667,0.4320448894253259,0.6497754640288386
Validação,0.08398083499545947,0.2897944702637707,0.023125006062749646,0.24140590004397589,77.97948305570631,2.750831356677981,0.40712524597478955,0.501555077354938
Teste,0.1677013045434098,0.4095134973885596,0.05288349077822762,0.27685266733077385,74.68412282509955,6.681760886831811,0.9594396491475707,0.5272498250014352
