Conjunto,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson
Treino,0.09022599849719669,0.3003764279985976,0.02537425582336281,0.43121453017695066,65.51084027077626,2.9565188635717563,0.43886648988458216,0.6798444234044477
Validação,3.971422604337081,1.9928428448668702,0.3371854223954889,0.20296051299732254,104.64474961549703,14.277392742932872,1.5822895765304565,0.494422684231717
Teste,3.2442827804657317,1.8011892683629147,0.295624630164642,0.12079364332050646,105.00595826571507,15.630689976371784,1.9609545592731832,0.4380573845333371
