Conjunto,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson
Treino,7.421336685494027e-06,0.0027242130396674244,7.421336685494027e-06,0.9999803895387371,0.006651059019514023,0.00011885696474810486,1.2032128664963743e-06,0.9999901970161392
Validação,0.0015059346163865796,0.03880637339905108,0.0005964323746235164,0.9729195772337252,1.6358792730268883,0.03450016142266194,0.004217068707662631,0.9870393796351175
Teste,0.03701765531236146,0.19239972794253493,0.006035164373106156,0.9106127549208981,2.7532679493362417,0.23700819652236055,0.027947027186222623,0.9566084224509942
