Conjunto,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson
Treino,0.009017927856577148,0.09496277089774259,0.0021779825761393907,0.9594927466759495,2.2402549035930783,0.058922691841021356,0.002356014334660301,0.9938556740065779
Validação,4.282475866806465,2.0694143777422793,0.25369680754907986,0.17197651864163122,56.447976891578634,8.475957588608482,2.363052191551295,0.534708055285555
Teste,3.320438193716331,1.822206956883968,0.19053472649047326,0.1332776337335242,51.76804143513171,8.065027374622252,2.88746614698762,0.41614068345672955
