Conjunto,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson
Treino,0.08981812723243898,0.29969672542828857,0.01202860276231402,0.8362830198569322,55.43204608745987,1.1962327944424884,0.17608745978775778,0.919894582094368
Validação,0.034199567858097725,0.18493125170748648,0.013757167462445766,0.6643919980157975,65.6474189640732,1.6923051557966369,0.236163950693222,0.8188855073464157
Teste,0.06396987815534705,0.25292267228413323,0.030400878209316504,0.6863559308690179,61.89353291770554,3.987715660178031,0.5739031843050842,0.832411942459226
