Conjunto,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson
Treino,0.6464240345118877,0.8040049965714688,0.053215499397073714,0.9567078909744001,44.8747493463966,3.7199957211469634,0.4976360798826876,0.9797468992475902
Validação,0.4907945930768922,0.7005673365757872,0.0793871084192371,0.7653535116815021,62.183031183388756,5.9935738992667655,0.6802985926095425,0.8755265113781919
Teste,1.0132693780482889,1.006612824301523,0.17505743883268168,0.7764996235039167,52.592861804363025,13.135518950634953,1.2978195211326553,0.8814239347225898
