,ID_UNIDADE,DT_NOTIFIC,LAT,LNG,CASES,CASES_MM_14,CASES_MM_21,CASES_ACC_14,CASES_ACC_21,TEM_MIN_ERA5,TEM_AVG_ERA5,TEM_MAX_ERA5,IDEAL_TEMP_ERA5,EXTREME_TEMP_ERA5,TEMP_RANGE_ERA5,TEM_AVG_ERA5_MM_7,TEM_AVG_ERA5_MM_14,TEM_AVG_ERA5_MM_21,TEMP_RANGE_ERA5_MM_7,TEMP_RANGE_ERA5_MM_14,TEMP_RANGE_ERA5_MM_21,TEM_AVG_ERA5_ACC_7,TEM_AVG_ERA5_ACC_14,TEM_AVG_ERA5_ACC_21
5884,2283395,2020-02-10,-22.89387,-42.03978,0,0.0,0.0,0.0,0.0,,,,0,0,,,,,,,,,,
5885,2283395,2020-02-11,-22.89387,-42.03978,0,0.0,0.0,0.0,0.0,,,,0,0,,,,,,,,,,
5886,2283395,2020-02-12,-22.89387,-42.03978,0,0.0,0.0,0.0,0.0,,,,0,0,,,,,,,,,,
5887,2283395,2020-02-13,-22.89387,-42.03978,0,0.0,0.0,0.0,0.0,,,,0,0,,,,,,,,,,
5888,2283395,2020-02-14,-22.89387,-42.03978,0,0.0,0.0,0.0,0.0,,,,0,0,,,,,,,,,,
5889,2283395,2020-02-15,-22.89387,-42.03978,0,0.0,0.0,0.0,0.0,,,,0,0,,,,,,,,,,
5890,2283395,2020-02-16,-22.89387,-42.03978,0,0.0,0.0,0.0,0.0,,,,0,0,,,,,,,,,,
5891,2283395,2020-02-17,-22.89387,-42.03978,0,0.0,0.0,0.0,0.0,,,,0,0,,,,,,,,,,
5892,2283395,2020-02-18,-22.89387,-42.03978,0,0.0,0.0,0.0,0.0,,,,0,0,,,,,,,,,,
5893,2283395,2020-02-19,-22.89387,-42.03978,1,0.07142857142857142,0.047619047619047616,1.0,1.0,,,,0,0,,,,,,,,,,
5894,2283395,2020-02-20,-22.89387,-42.03978,0,0.07142857142857142,0.047619047619047616,1.0,1.0,,,,0,0,,,,,,,,,,
5895,2283395,2020-02-21,-22.89387,-42.03978,0,0.07142857142857142,0.047619047619047616,1.0,1.0,,,,0,0,,,,,,,,,,
5896,2283395,2020-02-22,-22.89387,-42.03978,0,0.07142857142857142,0.047619047619047616,1.0,1.0,,,,0,0,,,,,,,,,,
5897,2283395,2020-02-23,-22.89387,-42.03978,0,0.07142857142857142,0.047619047619047616,1.0,1.0,,,,0,0,,,,,,,,,,
5898,2283395,2020-02-24,-22.89387,-42.03978,0,0.07142857142857142,0.047619047619047616,1.0,1.0,,,,0,0,,,,,,,,,,
5899,2283395,2020-02-25,-22.89387,-42.03978,0,0.07142857142857142,0.047619047619047616,1.0,1.0,,,,0,0,,,,,,,,,,
5900,2283395,2020-02-26,-22.89387,-42.03978,0,0.07142857142857142,0.047619047619047616,1.0,1.0,,,,0,0,,,,,,,,,,
5901,2283395,2020-02-27,-22.89387,-42.03978,0,0.07142857142857142,0.047619047619047616,1.0,1.0,,,,0,0,,,,,,,,,,
5902,2283395,2020-02-28,-22.89387,-42.03978,0,0.07142857142857142,0.047619047619047616,1.0,1.0,,,,0,0,,,,,,,,,,
