Conjunto,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson
Treino,0.016475686271981017,0.12835764983818074,0.010149796552680281,0.9988965954725109,6.889713682289771,0.48244160274589576,0.03147293547722947,0.9994598087110453
Validação,0.3904335967269664,0.6248468586197473,0.04558581685451847,0.8133356119121096,24.337624221624207,2.066759271120624,0.20235108304205576,0.9037632000339575
Teste,0.8114635817646821,0.9008127340156122,0.1039622717562175,0.8209644897559816,23.755589913845053,5.047097342871893,0.4376283776870093,0.9108715656764876
