epoch,train_loss,train_mae_all28_activecells,train_mae_all28_allcells,train_mae_h14_allcells,train_mae_h1_allcells,train_mae_h21_allcells,train_mae_h28_allcells,train_mae_h7_allcells,train_rmse_all28_activecells,train_rmse_all28_allcells,val_loss,val_mae_all28_activecells,val_mae_all28_allcells,val_mae_h14_allcells,val_mae_h1_allcells,val_mae_h21_allcells,val_mae_h28_allcells,val_mae_h7_allcells,val_rmse_all28_activecells,val_rmse_all28_allcells
1,0.021792093536083256,7.3335405843952195,0.8130582699648281,0.080154177532005,0.08837623546703288,0.0788418187014439,0.08185031820191326,0.08930704088181672,9414.522478198784,3097.150511376936,0.02044187695310827,0.5171350550983106,0.06696675481535352,0.06727534177472015,0.07830964929367104,0.062327439331147046,0.05598053141023512,0.07081836174992416,1.4970368395987403,0.4934877949346961
2,0.01581597048454736,0.5452854793719532,0.06914741711897365,0.06734708919459548,0.07451156922704978,0.06938033611411187,0.0686044502220621,0.07105780460687296,4.3268345336784915,1.4235814826702677,0.017185179304266184,0.48183276305457884,0.05818083094724323,0.05860509267050804,0.06492970281417619,0.05431960423056734,0.048407380536968705,0.061545869525271815,1.37162528942022,0.4521752512222406
3,0.014669295327119723,0.5161567376170412,0.06388238380213271,0.06358795403161027,0.06924154173403972,0.06255986640146756,0.0638513259782904,0.06390864644006383,2.847792471878909,0.9370090767814796,0.014704310204506967,0.47257062350151363,0.06311334818788361,0.06322166394790972,0.06933435629972648,0.059306601731251,0.057186268245754165,0.06640777325568992,1.2217847091301344,0.40330384802821884
4,0.013819714986060843,0.5034418249162069,0.06069852285881299,0.0597733806746805,0.06513558453839897,0.060226929902188905,0.06203724639633768,0.06049643061708226,2.6834695824378048,0.8829053586645399,0.0152128544031528,0.4718185378507477,0.053825954627843536,0.05389976092272324,0.062440774680343945,0.0500122053762124,0.04857357334817538,0.05681035363646306,1.3100233887651342,0.43182503001164824
5,0.013576144298361936,0.4985203970431376,0.05894962259828765,0.058321253834270115,0.06304813006212041,0.05799432394098907,0.06073187618856504,0.05899694918650862,2.615082248433837,0.8603793214108123,0.014721436564924946,0.46512807081683094,0.05360487567571481,0.053752185128974866,0.06090739132942141,0.049964278757136035,0.04757249164877233,0.056643359502083504,1.275718311155366,0.420621702214716
6,0.01282776463890566,0.48139385262747747,0.056078105592668924,0.0559092099500897,0.05915630695531779,0.05513165953793239,0.05850142543121662,0.056065629842503774,2.5358244892929784,0.8342832754327694,0.015317491508954973,0.47854189866713415,0.05446351041554832,0.054723529401366405,0.060987616591867674,0.050515243597278714,0.048336419466240295,0.057800950362107556,1.3373957271167873,0.44086898866473
7,0.012799995007319912,0.4864474715861468,0.056075044634711725,0.05571851208347905,0.057650498061586855,0.0553674533864994,0.05798612595156338,0.056003381714074825,2.7267384713760605,0.8970741561771985,0.014289381644247394,0.46413829972258713,0.05441632358679775,0.05452863778144752,0.06292180644549278,0.05073859952571442,0.04801641668537378,0.05736242889540499,1.26371581419615,0.41669791993654
8,0.012493007621679712,0.47418067090510463,0.05449826839214605,0.05396513922118495,0.05723871596273527,0.05367266554759272,0.055895250931004614,0.05407213378093838,2.4718856758445766,0.8132327718143245,0.01420271085379155,0.46339847550229385,0.053408623352356424,0.05345359475330499,0.060027159397955464,0.04997524943693531,0.049325143058322946,0.05610560897720759,1.249225215880489,0.41192638444251506
9,0.012050459562498412,0.46244277969766867,0.0528070767623268,0.05176248728326012,0.055109184789295405,0.05204692471687939,0.05458806844934478,0.05170766688157095,2.493960856628361,0.8204873730523217,0.015818854736719738,0.4743069122353034,0.053898378927180614,0.05405223025712264,0.061234496294965746,0.049925363114504635,0.048246923874188385,0.05708879672425581,1.3603488856566712,0.44837868272444736
10,0.012033597812733623,0.4654680665776284,0.053052158582168926,0.05274847626553141,0.05490503544905513,0.05233388575749255,0.05487731052506458,0.05362302417318605,2.634070313847929,0.8665782023770578,0.01575776858647403,0.47450442038052604,0.054059567042467206,0.05432339448588692,0.061667387299997455,0.04963419316203431,0.04709097413191397,0.057764550997727454,1.359036671805703,0.44795775773188357
