Conjunto,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson
Treino,0.6435802859224772,0.8022345579208597,0.053376709634568635,0.9568983416188709,44.98769753630131,3.724509706680664,0.49859959709303475,0.9798232146373138
Validação,0.501014800850347,0.7078239900217759,0.07963579479363042,0.7604672804602244,62.52353555861829,5.977444828840579,0.6848717559276994,0.8731027479639513
Teste,1.0112620420008869,1.0056152554535391,0.17522673223426982,0.7769423886481793,52.7687667340826,13.068821203499366,1.2998475473386546,0.8817474434108656
