Feature,Importance
CASES_LAG_5_t-0,0.0008803063
TEMP_RANGE_MM_7_t-2,0.0008500735
RAIN_ACC_14_t-4,0.0008294099
CASES_MM_28_t-6,0.0008186823
RAIN_ACC_21_t-4,0.0007963099
TEM_MIN_t-4,0.0007905844
TEMP_RANGE_t-6,0.00076434616
RAIN_ACC_7_t-6,0.0007577527
TEM_AVG_MM_28_t-6,0.0007361281
WEEK_OF_YEAR_t-6,0.0007264919
TEM_AVG_t-4,0.00072517723
TEMP_RANGE_t-2,0.00071515975
RH_MM_21_t-0,0.00071490346
TEM_AVG_MM_7_t-6,0.0007076617
RH_AVG_t-5,0.0006905958
TEM_AVG_MM_21_t-2,0.00068405486
CASES_LAG_3_t-0,0.00067186146
TEM_AVG_MM_7_t-1,0.0006669693
IDEAL_TEMP_t-2,0.0006545249
RH_MM_21_t-4,0.00065173017
RH_MAX_t-6,0.0006476317
RH_MM_7_t-5,0.0006462599
RAIN_t-5,0.00064264965
CASES_MM_7_t-6,0.00064014905
RH_AVG_t-4,0.0006197027
TEMP_RANGE_MM_28_t-6,0.00061608094
CASES_MM_21_t-5,0.0006057101
RH_MM_28_t-4,0.000599846
TEM_MAX_t-6,0.0005688647
RH_MIN_t-6,0.0005632967
TEMP_RANGE_MM_28_t-3,0.0005552638
TEMP_RANGE_MM_14_t-6,0.0005535758
RH_MM_21_t-6,0.00055077125
CASES_MM_21_t-2,0.00054749235
TEMP_RANGE_MM_7_t-5,0.0005468311
TEMP_RANGE_MM_7_t-0,0.0005460338
CASES_LAG_5_t-2,0.00054440385
RAIN_ACC_28_t-6,0.0005411265
CASES_MM_28_t-4,0.0005352064
TEM_MIN_t-6,0.00052079617
RH_MM_14_t-5,0.00051511126
TEM_MIN_t-0,0.00051293423
TEMP_RANGE_MM_28_t-4,0.0004942531
RH_MM_28_t-3,0.00048298735
RH_MM_14_t-3,0.00047407957
RH_MM_28_t-5,0.0004620791
TEM_MIN_t-5,0.00045637615
TEMP_RANGE_MM_28_t-0,0.00043406192
CASES_MM_7_t-5,0.00043368334
RH_MM_14_t-4,0.00043246997
RAIN_t-6,0.0004296679
TEMP_RANGE_MM_14_t-4,0.00040862698
RAIN_ACC_28_t-2,0.00040512293
IDEAL_TEMP_t-6,0.00040495128
CASES_MM_14_t-6,0.00039794768
TEM_AVG_MM_7_t-2,0.00038943652
TEMP_RANGE_MM_7_t-4,0.00038103235
SIGNIFICANT_RAIN_t-2,0.00037277685
CASES_MM_21_t-6,0.000360445
TEM_AVG_MM_14_t-2,0.00034533467
TEM_AVG_MM_14_t-3,0.0003404881
RH_MIN_t-2,0.00032719126
WEEK_OF_YEAR_t-1,0.00031865799
TEM_AVG_MM_14_t-5,0.0003183586
TEMP_RANGE_MM_14_t-3,0.00030372996
TEMP_RANGE_MM_21_t-5,0.00028847315
TEM_AVG_MM_7_t-4,0.00028513017
RAIN_ACC_28_t-1,0.00025993388
RAIN_ACC_28_t-3,0.00025862572
RH_AVG_t-6,0.00024566738
TEM_AVG_t-6,0.00023682741
WEEK_OF_YEAR_t-3,0.00021938895
TEMP_RANGE_MM_28_t-2,0.0002187224
TEMP_RANGE_MM_14_t-2,0.00020925164
TEM_AVG_MM_14_t-1,0.00020323355
CASES_LAG_2_t-4,0.00014907985
IDEAL_TEMP_t-4,0.00014272422
TEMP_RANGE_MM_21_t-0,0.00013044984
IDEAL_TEMP_t-5,0.00010562558
SIGNIFICANT_RAIN_t-6,9.908669e-05
TEM_AVG_MM_14_t-0,9.016655e-05
TEM_AVG_MM_21_t-1,8.23715e-05
RH_MM_14_t-2,7.6555734e-05
TEMP_RANGE_MM_14_t-0,6.310654e-05
CASES_LAG_4_t-0,6.201614e-05
CASES_LAG_3_t-1,3.6732366e-05
SIGNIFICANT_RAIN_t-5,2.7631795e-05
SIGNIFICANT_RAIN_t-4,1.7491298e-05
CASES_LAG_2_t-0,9.815226e-06
IDEAL_TEMP_t-0,4.1338987e-07
CASES_ACC_14_t-4,0.0
RAIN_MM_14_t-4,0.0
CASES_ACC_28_t-0,0.0
RAIN_MM_7_t-6,0.0
RAIN_MM_14_t-0,0.0
RAIN_MM_21_t-0,0.0
CASES_ACC_21_t-0,0.0
RAIN_MM_28_t-0,0.0
EXTREME_TEMP_t-6,0.0
EXTREME_RAIN_t-6,0.0
CASES_ACC_7_t-6,0.0
RAIN_MM_7_t-4,0.0
CASES_ACC_7_t-4,0.0
CASES_LAG_4_t-4,0.0
EXTREME_RAIN_t-3,0.0
CASES_LAG_5_t-4,0.0
CASES_LAG_6_t-4,0.0
RAIN_MM_7_t-3,0.0
CASES_ACC_7_t-3,0.0
RAIN_MM_21_t-4,0.0
CASES_ACC_21_t-4,0.0
CASES_LAG_6_t-3,0.0
CASES_LAG_5_t-3,0.0
CASES_LAG_2_t-3,0.0
CASES_LAG_3_t-3,0.0
RAIN_MM_21_t-3,0.0
CASES_ACC_21_t-3,0.0
CASES_ACC_28_t-3,0.0
RAIN_MM_28_t-3,0.0
CASES_LAG_5_t-5,0.0
CASES_LAG_4_t-5,0.0
CASES_LAG_3_t-5,0.0
RAIN_MM_28_t-5,0.0
CASES_ACC_28_t-5,0.0
CASES_LAG_6_t-5,0.0
CASES_ACC_14_t-3,0.0
RAIN_MM_14_t-3,0.0
EXTREME_TEMP_t-3,0.0
IDEAL_TEMP_t-3,0.0
RAIN_MM_28_t-4,0.0
CASES_ACC_28_t-4,0.0
EXTREME_RAIN_t-4,0.0
EXTREME_TEMP_t-4,0.0
EXTREME_TEMP_t-2,0.0
EXTREME_RAIN_t-2,0.0
CASES_ACC_7_t-2,0.0
RAIN_MM_7_t-2,0.0
CASES_ACC_14_t-5,0.0
RAIN_MM_14_t-5,0.0
RAIN_MM_21_t-5,0.0
CASES_ACC_21_t-5,0.0
RAIN_MM_14_t-2,0.0
CASES_ACC_14_t-2,0.0
SIGNIFICANT_RAIN_t-1,0.0
EXTREME_RAIN_t-1,0.0
IDEAL_TEMP_t-1,0.0
EXTREME_TEMP_t-1,0.0
RAIN_MM_7_t-5,0.0
EXTREME_TEMP_t-5,0.0
EXTREME_RAIN_t-5,0.0
CASES_ACC_7_t-5,0.0
RAIN_MM_28_t-2,0.0
CASES_ACC_21_t-2,0.0
RAIN_MM_21_t-2,0.0
CASES_ACC_28_t-2,0.0
CASES_LAG_6_t-2,0.0
CASES_ACC_7_t-1,0.0
CASES_ACC_28_t-6,0.0
RAIN_MM_28_t-6,0.0
RAIN_MM_28_t-1,0.0
CASES_ACC_21_t-1,0.0
RAIN_MM_14_t-1,0.0
CASES_ACC_28_t-1,0.0
RAIN_MM_21_t-1,0.0
CASES_ACC_14_t-1,0.0
RAIN_MM_7_t-1,0.0
CASES_ACC_14_t-6,0.0
SIGNIFICANT_RAIN_t-0,0.0
RAIN_MM_21_t-6,0.0
CASES_ACC_21_t-6,0.0
RAIN_MM_14_t-6,0.0
RAIN_MM_7_t-0,0.0
CASES_ACC_7_t-0,0.0
EXTREME_RAIN_t-0,0.0
CASES_ACC_14_t-0,0.0
