Conjunto,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson
Treino,0.5709677419354838,0.7556240744811429,0.12387096774193548,0.5111082757509705,60.326722086684136,10.403847932854697,1.2116719050975624,0.736602901419281
Validação,12.65166908563135,3.5569184817242228,0.7648766328011611,0.16580673370014054,74.03559738078884,27.651960194110504,3.6151443869371884,0.5100948996427479
Teste,2.828101644245142,1.6816960617915302,0.47234678624813153,0.2581627139067678,63.44459450015005,39.55936083344382,3.1683457764679797,0.5505039156337386
