Conjunto,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson
Treino,6.154306125981526,2.4807874003996244,0.2025103987998762,0.6438369304322267,82.7909159857837,11.044628492006673,1.302163317242585,0.814316115790646
Validação,1.5021624193436296,1.2256273574556134,0.14604483077531688,0.3707991047106469,81.06852644051749,10.941699398769368,1.1808385182384098,0.6262384733967372
Teste,2.522777076831131,1.5883252427733845,0.30780042942205105,0.5430328303839569,65.11455863094184,23.796620948814986,2.2869560020001694,0.7377805982363865
