Conjunto,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson
Treino,0.0,0.0,0.0,1.0,0.0,0.0,1.9824338238635774e-10,1.0
Validação,0.01436475943603531,0.11985307437039448,0.004074136548120251,0.8590354055549846,8.880899300564408,0.23745373362587543,0.012179864570498466,0.929355795476431
Teste,0.02510957521447116,0.15846001140499505,0.00793121306106701,0.8768878482886574,7.226431061231222,0.5010949718774509,0.0232905690880224,0.9384736935157472
