dataset,model,trial_number,weighted_score,values,params
RN_DAILY_CASESONLY,rf,6,0.02625170826181617,"[2.8378082191780822, 1.6845795378010746, 0.2378082191780822, -0.1410100786704983, 69.9114845006957, 14.985824340785712, -0.517635280454376, 2.096107628162808]","{""max_depth"": 16, ""min_samples_leaf"": 6, ""min_samples_split"": 8, ""n_estimators"": 205}"
RN_DAILY_CASESONLY,zip,1,0.2889032028909695,"[2.8553424657534245, 1.6897758625786512, 0.3189041095890411, -0.13570255260706054, 81.1386599538284, 19.949597887359662, -0.516194084069702, 1.453322793067543]","{""clf_colsample"": 0.8705443759736762, ""clf_learning_rate"": 0.1064480607990543, ""clf_max_depth"": 27, ""clf_n_estimators"": 251, ""clf_subsample"": 0.7157582884051823, ""reg_alpha"": 0.00022349914013703248, ""reg_colsample"": 0.7447297688655017, ""reg_lambda"": 0.0016241648724676003, ""reg_learning_rate"": 0.04055788365618285, ""reg_max_depth"": 19, ""reg_n_estimators"": 728, ""reg_subsample"": 0.4192693492605094}"
RN_DAILY,poisson,5,0.050031258079517894,"[3.305890410958904, 1.8182107718740708, 0.22342465753424656, 0.0006759881948670277, 93.01907133142831, 11.24653986494286, -0.28743629177888136, 1.2437369276402597]","{""colsample_bytree"": 0.6979871141160848, ""learning_rate"": 0.03789336892145209, ""max_depth"": 25, ""n_estimators"": 483, ""reg_alpha"": 3.0242748429002044, ""reg_lambda"": 0.0001570068120320862, ""subsample"": 0.55440157912752}"
RN_DAILY,rf,9,0.3432823670837672,"[2.8697260273972605, 1.6940265722228978, 0.24452054794520547, -0.13134872263314679, 66.30223131743584, 16.219721523264948, -0.5208243318657813, 1.7291178946279002]","{""max_depth"": 12, ""min_samples_leaf"": 1, ""min_samples_split"": 3, ""n_estimators"": 314}"
RN_DAILY,zip,0,0.21957243920660535,"[2.788767123287671, 1.6699602160793146, 0.3202739726027397, -0.15585456562917566, 77.29375321553702, 19.634554717209365, -0.5092524501740661, 1.4120833516530855]","{""clf_colsample"": 0.8018231402148701, ""clf_learning_rate"": 0.06565238961865016, ""clf_max_depth"": 13, ""clf_n_estimators"": 405, ""clf_subsample"": 0.6591503521167873, ""reg_alpha"": 0.0224917015046731, ""reg_colsample"": 0.8651400359980163, ""reg_lambda"": 0.02281952579760499, ""reg_learning_rate"": 0.05698127546179866, ""reg_max_depth"": 20, ""reg_n_estimators"": 782, ""reg_subsample"": 0.337721798961049}"
RN_WEEKLY_CASESONLY,poisson,0,0.052183618382211784,"[47.11057692307692, 6.863714513517948, 1.3317307692307692, -0.10667244233118878, 73.89423237174542, 26.872525260426517, -0.7392071550088581, 4.807614392790117]","{""colsample_bytree"": 0.6241540033309846, ""learning_rate"": 0.08800072371505187, ""max_depth"": 21, ""n_estimators"": 617, ""reg_alpha"": 0.12660451025337913, ""reg_lambda"": 0.0003512183221517613, ""subsample"": 0.6036266967645748}"
RN_WEEKLY_CASESONLY,rf,4,0.07174585897782279,"[32.80384615384615, 5.7274641992635935, 1.0788461538461538, -0.37796177247822915, 72.64184789662549, 23.733096838780426, -0.7735953260880715, 4.385056079331989]","{""max_depth"": 24, ""min_samples_leaf"": 4, ""min_samples_split"": 7, ""n_estimators"": 266}"
RN_WEEKLY_CASESONLY,zip,8,0.09766299699910982,"[34.104807692307695, 5.839932165043332, 1.1067307692307693, -0.3532924759066217, 74.3340590774738, 22.546743796475514, -0.7710723895052329, 5.498585114145324]","{""clf_colsample"": 0.5704117895517109, ""clf_learning_rate"": 0.061949870613408065, ""clf_max_depth"": 20, ""clf_n_estimators"": 260, ""clf_subsample"": 0.7353278676726195, ""reg_alpha"": 0.0226449020059156, ""reg_colsample"": 0.929395213559353, ""reg_lambda"": 0.00013036274050665661, ""reg_learning_rate"": 0.08800342058818961, ""reg_max_depth"": 34, ""reg_n_estimators"": 636, ""reg_subsample"": 0.3090674302610302}"
RN_WEEKLY,poisson,3,0.0,"[48.5375, 6.9668859614608305, 1.3567307692307693, -0.07961461815360904, 71.06398230790374, 25.732243747924137, -0.7713714533587616, 5.010666573390466]","{""colsample_bytree"": 0.6241328973499833, ""learning_rate"": 0.030595820422487655, ""max_depth"": 17, ""n_estimators"": 436, ""reg_alpha"": 2.0845772740358637, ""reg_lambda"": 0.0005302262401687395, ""subsample"": 0.5468526017156541}"
RN_WEEKLY,rf,2,0.19921367601579074,"[36.753846153846155, 6.062495043614152, 1.1288461538461538, -0.3030604640405625, 70.09620533672802, 24.33532040980625, -0.7732896080064192, 4.6966873360662165]","{""max_depth"": 18, ""min_samples_leaf"": 3, ""min_samples_split"": 5, ""n_estimators"": 236}"
RN_WEEKLY,zip,3,0.1663038977691012,"[28.34326923076923, 5.323839707463893, 1.0586538461538462, -0.4625448225859057, 87.98352608685497, 22.51914120249632, -0.7796557268114597, 4.448126408274166]","{""clf_colsample"": 0.7643318420104521, ""clf_learning_rate"": 0.08019776428908808, ""clf_max_depth"": 14, ""clf_n_estimators"": 149, ""clf_subsample"": 0.7179604030699315, ""reg_alpha"": 0.007680570685612714, ""reg_colsample"": 0.9284053693272174, ""reg_lambda"": 6.965464997216161e-07, ""reg_learning_rate"": 0.08317680426556096, ""reg_max_depth"": 29, ""reg_n_estimators"": 739, ""reg_subsample"": 0.31502037269314237}"
