local,resolution,model,RMSE_mean_full,MAE_mean_full,R2_mean_full,Poisson_Deviance_mean_full,Spearman_mean_full,RMSE_mean_caseonly,MAE_mean_caseonly,R2_mean_caseonly,Poisson_Deviance_mean_caseonly,Spearman_mean_caseonly,RMSE_mean_full_minus_caseonly,MAE_mean_full_minus_caseonly,R2_mean_full_minus_caseonly,Poisson_Deviance_mean_full_minus_caseonly,Spearman_mean_full_minus_caseonly
RJ,DAILY,rf,0.3860077897877719,0.04763568485713859,0.3523528824511525,1.0637132456058993,0.3778224068589359,0.3849107571997673,0.04796662353308638,0.35602948152610586,1.0597667535616817,0.3771482543244342,0.0010970325880045873,-0.00033093867594779364,-0.0036765990749533795,0.003946492044217598,0.0006741525345017041
RJ,DAILY,xgb_poisson,0.38397533285356106,0.04708744217869198,0.3591526835888981,1.0679897195342067,0.3794917516524695,0.3843537455538016,0.047416744753320486,0.35788943854010985,1.0599964445218655,0.38045734686568555,-0.00037841270024052687,-0.00032930257462850804,0.0012632450487882751,0.007993275012341261,-0.0009655952132160417
RJ,DAILY,xgb_zip,0.40079353437083,0.045519908378326056,0.30178105853024056,1.4830382638960573,0.3194415126221085,0.4027399269890962,0.045412669373670625,0.2949857828353514,1.5016956207274874,0.3176185135051065,-0.001946392618266235,0.00010723900465543085,0.006795275694889191,-0.018657356831430105,0.001822999117002011
RJ,WEEKLY,rf,1.2842672690021089,0.23485131189188616,0.6891129925958894,2.7486135452851035,0.6191012557117073,1.3074932781524622,0.23900361574059428,0.6777647267558333,2.694838771976097,0.6141103677763204,-0.023226009150353333,-0.004152303848708128,0.011348265840056104,0.053774773309006374,0.004990887935386823
RJ,WEEKLY,xgb_poisson,1.3852533960248168,0.2354511242528699,0.6382801611635414,3.5256989847395195,0.6063194165785519,1.3004247516356489,0.23992916100060083,0.681228438522399,2.732351626562252,0.6135500562827312,0.08482864438916793,-0.0044780367477309235,-0.042948277358857645,0.7933473581772676,-0.007230639704179254
RJ,WEEKLY,xgb_zip,1.3478580279907333,0.24349430230964653,0.6575125836801436,4.129609590205487,0.5897181276339203,1.4055586768372872,0.25472418118760737,0.6275979326021411,4.4892965834215115,0.5782546111302223,-0.057700648846553904,-0.011229878877960842,0.029914651078002508,-0.35968699321602493,0.011463516503698035
RN,DAILY,rf,0.5091778492195191,0.09571232876712323,0.16571499097978698,1.5402920138865752,0.3634329255466735,0.5041986350037139,0.085972602739726,0.1819801766050027,1.8377878274715875,0.3562422029366833,0.004979214215805272,0.009739726027397227,-0.016265185625215728,-0.2974958135850123,0.007190722609990208
RN,DAILY,xgb_poisson,0.5432545183217374,0.07689041095890406,0.050315923319042145,2.99979969591054,0.21276295045018462,0.5273705139252864,0.07761643835616432,0.10501807876861599,2.4195381632552815,0.32596763584583527,0.01588400439645099,-0.0007260273972602566,-0.054702155449573846,0.5802615326552587,-0.11320468539565065
RN,DAILY,xgb_zip,0.655226197794126,0.18709589041095886,-0.387521715746725,1.2807323085638453,0.34080878669645204,0.5912008658024384,0.1254657534246575,-0.126970192086426,2.0295457058889794,0.31375389603971676,0.0640253319916877,0.061630136986301376,-0.260551523660299,-0.7488133973251341,0.027054890656735275
RN,WEEKLY,rf,1.489238915866257,0.4375490196078431,0.5431957919817464,4.312710192834885,0.5584622858114919,1.4326925176389427,0.4056862745098039,0.5772193560762855,4.539976689340454,0.5740262277958936,0.05654639822731422,0.031862745098039214,-0.034023564094539105,-0.2272664965055693,-0.015563941984401697
RN,WEEKLY,xgb_poisson,1.8606490052074687,0.4713725490196078,0.2868984038203313,5.675847486005461,0.5798804906678348,1.8385962527906234,0.4730392156862745,0.3036375935143211,7.855671407328169,0.4995435284658497,0.022052752416845234,-0.0016666666666667052,-0.016739189693989798,-2.1798239213227077,0.08033696220198505
RN,WEEKLY,xgb_zip,1.5769153991264804,0.4933333333333333,0.4872840715201566,4.481039401446297,0.5716526639912407,1.5796602328481297,0.4402941176470588,0.48560813334814085,7.2114316158032405,0.5371544974103448,-0.0027448337216493535,0.05303921568627451,0.0016759381720157784,-2.730392214356944,0.034498166580895884
