local,resolution,features,model,n_seeds_baseline,MSE_mean_baseline,RMSE_mean_baseline,MAE_mean_baseline,R2_mean_baseline,MAPE (ign. zeros)_mean_baseline,SMAPE_mean_baseline,Poisson_Deviance_mean_baseline,Pearson_mean_baseline,Spearman_mean_baseline,MSE_std_baseline,RMSE_std_baseline,MAE_std_baseline,R2_std_baseline,MAPE (ign. zeros)_std_baseline,SMAPE_std_baseline,Poisson_Deviance_std_baseline,Pearson_std_baseline,Spearman_std_baseline,n_seeds_optimized,MSE_mean_optimized,RMSE_mean_optimized,MAE_mean_optimized,R2_mean_optimized,MAPE (ign. zeros)_mean_optimized,SMAPE_mean_optimized,Poisson_Deviance_mean_optimized,Pearson_mean_optimized,Spearman_mean_optimized,MSE_std_optimized,RMSE_std_optimized,MAE_std_optimized,R2_std_optimized,MAPE (ign. zeros)_std_optimized,SMAPE_std_optimized,Poisson_Deviance_std_optimized,Pearson_std_optimized,Spearman_std_optimized,MSE_improvement_pct,RMSE_improvement_pct,MAE_improvement_pct,Poisson_Deviance_improvement_pct,R2_change,Spearman_change
RJ,DAILY,CASEONLY,rf,1,0.1482352416224175,0.3850133005785872,0.0479303318310948,0.3556868408526883,80.9760018002164,5.757616124906666,1.0656397669301434,0.5982191972583781,0.3760826524907188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.14815641128612433,0.3849107571997673,0.04796662353308638,0.35602948152610586,80.72963491498284,5.7753896457955,1.0597667535616817,0.5982229198740506,0.3771482543244342,0.0002814724153774633,0.00036557113023436027,2.7686124393756152e-05,0.0012234363379432967,0.09462522775962616,0.006334655923151632,0.0016832191910566817,0.001014339948942696,0.0005449391536533419,0.05317921395099645,0.026633723735199677,-0.07571761055081926,0.5511255820886314,0.0003426406734175491,0.0010656018337154016
RJ,DAILY,CASEONLY,xgb_poisson,1,0.153603141314533,0.3919223664382182,0.047274403938542,0.3323549504684671,81.02206180782765,5.652097876073021,1.0859752831049645,0.5793290130059885,0.3776361086136223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.14772849642288752,0.3843537455538016,0.047416744753320486,0.35788943854010985,80.5238056097945,5.713373416586005,1.0599964445218655,0.6002523582869064,0.38045734686568555,0.0006749709222046231,0.000878573117885817,6.458981579185773e-05,0.0029338006432099405,0.1566014962936003,0.013840646245565415,0.003846767040352951,0.0021746838349899814,0.0009337583312793266,3.824560384228072,1.9311530886078487,-0.3010948905110097,2.3922126946408637,0.02553448807164277,0.002821238252063263
RJ,DAILY,CASEONLY,xgb_zip,1,0.1659958651257567,0.4074259013928259,0.0461112846370086,0.2784892506398907,97.5454419052375,4.848612995068575,1.5491583649815326,0.5461372242626643,0.3049923305069801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.16220055627444852,0.4027399269890962,0.045412669373670625,0.2949857828353514,95.30186316805273,4.834388007708775,1.5016956207274874,0.5474569152125864,0.3176185135051065,0.0008930678864337617,0.0011092957054949517,0.0004256711525792381,0.003881771871137292,0.44306459486272687,0.021972268422078632,0.03385248253665146,0.0036103168706980897,0.007983555628383139,2.2863875846744146,1.150141507378453,1.5150635442875349,3.0637761333465074,0.016496532195460656,0.0126261829981264
RJ,DAILY,FULL,rf,1,0.1494965270031086,0.3866478074464002,0.047870837237666,0.3502045900780085,80.64983795395455,5.753920826099454,1.0666225566351306,0.5933630744404377,0.3750731977974337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.14900227566819862,0.3860077897877719,0.04763568485713859,0.3523528824511525,80.65891202043859,5.721497806999438,1.0637132456058993,0.5951511517326609,0.3778224068589359,0.00041640610844837704,0.000539435258122943,3.4115493704510414e-05,0.0018099335373028924,0.07625142088545545,0.005886350086675723,0.0014649412461397256,0.0015082561307564039,0.0005415418366054071,0.33061057993653903,0.16552988179482564,0.49122261923254323,0.272759188443314,0.0021482923731439563,0.0027492090615022224
RJ,DAILY,FULL,xgb_poisson,1,0.1527598054526794,0.3908449890336058,0.0465768298305891,0.3360205591821976,81.82310243412253,5.562447928193991,1.1107984484221234,0.58814694076897,0.3736286218526951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.14743786533398773,0.38397533285356106,0.04708744217869198,0.3591526835888981,80.72115049115287,5.672140761426766,1.0679897195342067,0.6018676976907654,0.3794917516524695,0.0007279078510349348,0.0009481525807511289,7.343041177372993e-05,0.0031638941046359444,0.13406684399876656,0.01179932949847586,0.0037240043981507597,0.0020766410914819047,0.0007978289775098119,3.4838615452022483,1.7576421273893033,-1.096279738144691,3.85387006515232,0.02313212440670054,0.005863129799774436
RJ,DAILY,FULL,xgb_zip,1,0.1647613523121086,0.4059080589395936,0.0459595734237651,0.283855132883976,97.43025999282014,4.862766622012414,1.5748523246221766,0.5447691814040407,0.2969837478345252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.16063718709562264,0.40079353437083,0.045519908378326056,0.30178105853024056,94.91388464646721,4.851382812293075,1.4830382638960573,0.5529636181166075,0.3194415126221085,0.001112522339871933,0.0013864030843332542,0.00048104045197775775,0.004835643505413486,0.4142880407191454,0.02784352853236935,0.04002836383886915,0.003977644786860986,0.007926373499573224,2.5031144492389927,1.2600204544164357,0.956634304207232,5.830010807403574,0.01792592564626455,0.022457764787583323
RJ,WEEKLY,CASEONLY,rf,1,1.7151365653626809,1.309632225230687,0.2408420564392861,0.6767116248534242,70.7459902635224,17.386784159228693,2.744248176566126,0.8229848725911817,0.6140484366775067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.709549560945785,1.3074932781524622,0.23900361574059428,0.6777647267558333,69.23825590151705,17.532545110045042,2.694838771976097,0.8236585349319414,0.6141103677763204,0.009099448883778302,0.003478270948732491,0.00045931134746271486,0.001715167237277085,0.24118690109251983,0.08188897294881074,0.01752809052417159,0.0010677215024501698,0.0006618738374827157,0.3257469130870373,0.1633242552387514,0.7633387315621415,1.8004714373848931,0.0010531019024091481,6.193109881369452e-05
RJ,WEEKLY,CASEONLY,xgb_poisson,1,1.8930457607286295,1.3758799950317724,0.2455330318459251,0.6431772837082164,70.57280338386977,17.482686149143177,2.8784986069579475,0.8089585061119852,0.6069539385004346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.6911735871730813,1.3004247516356489,0.23992916100060083,0.681228438522399,69.50296530963941,17.50484229338487,2.732351626562252,0.830052062637128,0.6135500562827312,0.022838681928812107,0.008759281201004526,0.00048674474553406493,0.004304893569622995,0.12831288412720357,0.08710121280463491,0.01922572278738737,0.0019175747056381076,0.0009997923944210082,10.663882392248565,5.484144232679325,2.282328696548154,5.077194758490662,0.03805115481418264,0.006596117782296629
RJ,WEEKLY,CASEONLY,xgb_zip,1,2.037359138968829,1.4273609000420422,0.2611766442132338,0.6159754628705143,97.6470790326667,15.763877322926012,4.670980719285724,0.7853828251881672,0.5697320756833804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.9756986390900562,1.4055586768372872,0.25472418118760737,0.6275979326021411,92.402025536044,15.577144556256048,4.4892965834215115,0.7962963819949227,0.5782546111302223,0.030218583699845453,0.010720958573972681,0.0015359011083074428,0.005695941081804175,0.4352168231273369,0.04064994341800319,0.12829092876924553,0.003999836467128867,0.003769490740726138,3.0264914368500073,1.5274499395431687,2.4705360025831378,3.889635748528519,0.011622469731626839,0.008522535446841895
RJ,WEEKLY,FULL,rf,1,1.6256812455857397,1.27502205690166,0.2347490591695392,0.6935731772003007,69.85226926974765,17.114769520287144,2.738777457177667,0.8341577961989585,0.6167601912342913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.6493437905189592,1.2842672690021089,0.23485131189188616,0.6891129925958894,70.47676944263664,16.964955449696582,2.7486135452851035,0.8308625844815575,0.6191012557117073,0.0031714031571779184,0.0012348138967791726,0.00019583468202867798,0.000597782004258043,0.16287250266839862,0.022430917965690113,0.011070782137282626,0.00035836826224976777,0.0005584288085108073,-1.455546405389809,-0.7251021306184349,-0.04355830975795679,-0.3591415608324958,-0.0044601846044112214,0.0023410644774159994
