stage,local,resolution,features,model,n_seeds,MSE_mean,RMSE_mean,MAE_mean,R2_mean,MAPE (ign. zeros)_mean,SMAPE_mean,Poisson_Deviance_mean,Pearson_mean,Spearman_mean,MSE_std,RMSE_std,MAE_std,R2_std,MAPE (ign. zeros)_std,SMAPE_std,Poisson_Deviance_std,Pearson_std,Spearman_std
BASELINE_CORRECTED,RJ,DAILY,CASEONLY,rf,1,0.1408811609985122,0.3753413925994737,0.0492712714003577,0.3353235302733587,81.09456057516374,6.120428939109119,1.1308123132616732,0.5813404656504073,0.3672199259004127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASELINE_CORRECTED,RJ,DAILY,CASEONLY,xgb_poisson,1,0.1434925479351296,0.3788041023208826,0.0484843925749206,0.3230030224224937,81.0706645386284,6.012864526849574,1.1454279361919348,0.5708551992146161,0.3701824721249123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASELINE_CORRECTED,RJ,DAILY,CASEONLY,xgb_zip,1,0.1563369417518621,0.3953946658110882,0.0470145172576019,0.2624032496964966,97.07129040960108,5.125689568460788,1.5893530426877114,0.5380714668909894,0.305056241246352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASELINE_CORRECTED,RJ,DAILY,FULL,rf,1,0.1554129507441125,0.394224492826248,0.0497430948028125,0.3500294988251687,80.62458563665635,5.976616505983947,1.1075204874222722,0.5932734213112618,0.3749421146891125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASELINE_CORRECTED,RJ,DAILY,FULL,xgb_poisson,1,0.1589332170222507,0.3986642911300819,0.0483881944251108,0.3353069855074876,81.80337772865349,5.773687156451661,1.152920858505354,0.5881933831365073,0.3738232187065191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASELINE_CORRECTED,RJ,DAILY,FULL,xgb_zip,1,0.1712866294842407,0.4138678889262137,0.0477555982441975,0.2836423484827428,97.4269064348561,5.04991768976808,1.6360215282065231,0.5447357916259394,0.2970393986356706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASELINE_CORRECTED,RJ,WEEKLY,CASEONLY,rf,1,2.2846869898972075,1.511518107697426,0.291458949133101,0.5978710054219423,69.31302967085608,21.124901396462416,3.010034692363817,0.7752455927734972,0.6154526905125363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASELINE_CORRECTED,RJ,WEEKLY,CASEONLY,xgb_poisson,1,2.395519918824723,1.5477467230864108,0.2896611814532139,0.5783632415694556,70.35016123849128,20.53099815549609,3.20743139106314,0.7628266906765682,0.6149647536171269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASELINE_CORRECTED,RJ,WEEKLY,CASEONLY,xgb_zip,1,2.425850355141836,1.5575141588896828,0.3059844708166056,0.5730247650449918,93.87936272272049,18.584623150447708,4.907135821484923,0.7591648507494453,0.5881487468270967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASELINE_CORRECTED,RJ,WEEKLY,FULL,rf,1,2.3356906108920508,1.5282966370741156,0.2911737813589348,0.6462113198272821,67.96851953170219,20.43409677775335,2.803724609655253,0.8070127108547803,0.6224086468064568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
