local,resolution,features,stage,seed,model,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson,Spearman
RJ,DAILY,CASEONLY,BASELINE_CORRECTED,987,rf,0.1408811609985122,0.3753413925994737,0.0492712714003577,0.3353235302733587,81.09456057516374,6.120428939109119,1.1308123132616732,0.5813404656504073,0.3672199259004127
RJ,DAILY,CASEONLY,BASELINE_CORRECTED,987,xgb_poisson,0.1434925479351296,0.3788041023208826,0.0484843925749206,0.3230030224224937,81.0706645386284,6.012864526849574,1.1454279361919348,0.5708551992146161,0.3701824721249123
RJ,DAILY,CASEONLY,BASELINE_CORRECTED,987,xgb_zip,0.1563369417518621,0.3953946658110882,0.0470145172576019,0.2624032496964966,97.07129040960108,5.125689568460788,1.5893530426877114,0.5380714668909894,0.305056241246352
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,107,rf,0.1408751907494573,0.3753334394234776,0.0491984343618878,0.3353516978724691,81.08409504927435,6.110937010308494,1.131200197785269,0.581491962016815,0.3674970837688194
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,107,xgb_poisson,0.1433707548544095,0.3786433082129004,0.0486300666518604,0.3235776414443447,80.65837047052918,6.0429298743259245,1.1323329420096973,0.5722221402612646,0.372212306815973
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,107,xgb_zip,0.1541016805057039,0.3925578689896611,0.0462192800834879,0.2729491988034099,95.89385881132483,5.115786244919598,1.6095535006013133,0.5285108825733811,0.2996190938837783
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,109,rf,0.1399748771919769,0.3741321654067943,0.04905514838457,0.3395993718183091,81.16082865845566,6.089380489718402,1.1329064106536897,0.584943307571678,0.368135130222216
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,109,xgb_poisson,0.1431414972907009,0.378340451565387,0.0485751403605552,0.3246592772501819,80.817992637898,6.029626422714536,1.137438140967651,0.5736454968490341,0.3706783399497418
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,109,xgb_zip,0.1538724229419954,0.3922657555051109,0.0465942117241362,0.2740308346092472,95.56301030814429,5.123712405871869,1.5701881193664329,0.5303914650855269,0.311442088233513
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,140,rf,0.1406566796340476,0.3750422371334296,0.0492402261052722,0.3363826319999077,81.10518182346291,6.120471807742923,1.1326603460611169,0.5822763159627335,0.3669876161365571
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,140,xgb_poisson,0.1428585074854982,0.3779662782385464,0.0486073797054517,0.3259944214480124,80.70162818129491,6.035593089793992,1.1335129152616066,0.5744029643377417,0.371894024839343
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,140,xgb_zip,0.1529637510358382,0.3911058054233383,0.0466479439656304,0.2783179431938418,95.17791393740632,5.122395091129863,1.5389379399080207,0.5344717410224471,0.3199263945885962
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,149,rf,0.1407975775117435,0.3752300327955419,0.0492855999980895,0.3357178766609036,81.05136258684273,6.129369348474252,1.1318056566372865,0.5816420532765229,0.3673384005352069
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,149,xgb_poisson,0.1433588143562996,0.3786275404091727,0.0485727522609333,0.3236339766425654,80.73200858858543,6.031088040855144,1.1357727771106316,0.5724701289786481,0.3716170464413158
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,149,xgb_zip,0.1525267288050188,0.3905467050238919,0.0466049581724351,0.280379811448719,95.37747155454868,5.121375569092625,1.5448003045811889,0.5362570461347426,0.3175712332981076
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,220,rf,0.1401826418590878,0.3744097245786864,0.0491506723694485,0.3386191393692691,81.13589516295136,6.110830223184805,1.1347572467848908,0.584145092457072,0.367023497855345
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,220,xgb_poisson,0.1429767184167854,0.3781226235188599,0.0486157380541286,0.3254367029856275,80.69474758185122,6.042367300069308,1.137280999820192,0.5742281332686502,0.3711702675345287
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,220,xgb_zip,0.1531500228063514,0.3913438677254971,0.0472760141662069,0.277439114101599,94.62545309751296,5.158718802958207,1.5011647883805534,0.5352038162895739,0.327930910390415
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,222,rf,0.1406184700400962,0.3749912932857191,0.0491661950169913,0.3365629046342139,81.0036393160005,6.114211366705906,1.1311344369858318,0.5824043328251471,0.3680722391617302
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,222,xgb_poisson,0.1430650781027981,0.3782394454612027,0.0486205142533725,0.3250198225187943,80.75308243640083,6.036788931778547,1.134874684817687,0.5735686458397946,0.3715720249957667
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,222,xgb_zip,0.1528658389513377,0.3909806119890572,0.0462013693363232,0.2787798918192514,95.6820568780318,5.104020269722001,1.5845223799315966,0.5338994170909693,0.309413919430816
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,241,rf,0.1405981711933095,0.3749642265514265,0.0492366439558392,0.3366586744711891,81.0290390726234,6.128531479430243,1.1316491714845662,0.5824387081706001,0.3671191146046055
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,241,xgb_poisson,0.1432656784710431,0.3785045289967388,0.0486515595484581,0.3240733911886868,80.87259169504463,6.037796760440247,1.1350582327596035,0.5729319175571943,0.371603647451446
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,241,xgb_zip,0.1542712355788634,0.3927737715006736,0.0459804701212915,0.2721492389886761,96.2984360050124,5.097190330111509,1.6199172135711966,0.5275353435868327,0.2976390652589282
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,248,rf,0.1409122062935977,0.3753827463983897,0.0492879880977114,0.335177058757985,80.9941399308085,6.131869202228963,1.1302727151057113,0.5811879903198861,0.367295914208176
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,248,xgb_poisson,0.143005375612249,0.3781605156705933,0.0486181261537506,0.3253014985098978,80.81580411730303,6.0425485731495465,1.1351502810975966,0.5739237501810137,0.3708551029513935
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,248,xgb_zip,0.1531500228063514,0.3913438677254971,0.0467004821573136,0.277439114101599,95.25211523023152,5.131137825287004,1.5561685595413983,0.5330847530667675,0.3151450827599223
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,254,rf,0.1403450326333813,0.3746265241989431,0.0492748535497906,0.3378529806734677,81.05859201989055,6.12985065387428,1.1328536435040957,0.583573282529192,0.3669885500154532
