dataset,model,trial_number,weighted_score,values,params
RN_DAILY_CASESONLY,rf,7,0.11077771504561097,"[2.853021823235548, 1.6890890513041485, 0.2543665251849904, -0.4684263065444437, 78.91610563202855, 12.443448209103623, -0.6188481197022008, 1.6264584053236584]","{""max_depth"": 16, ""min_samples_leaf"": 5, ""min_samples_split"": 6, ""n_estimators"": 234}"
RN_DAILY_CASESONLY,zip,3,0.1640926950346189,"[3.255606054914923, 1.804329807688972, 0.30161890095030613, -0.39341700054548845, 100.27616803783022, 13.302741016542347, -0.598951898838369, 1.9458479251383882]","{""clf_colsample"": 0.8469064329596423, ""clf_learning_rate"": 0.06521124073830153, ""clf_max_depth"": 12, ""clf_n_estimators"": 177, ""clf_subsample"": 0.7357667793500358, ""reg_alpha"": 0.0004466165791228809, ""reg_colsample"": 0.9749521571426867, ""reg_lambda"": 0.00898834815591477, ""reg_learning_rate"": 0.13096138945605004, ""reg_max_depth"": 24, ""reg_n_estimators"": 698, ""reg_subsample"": 0.4940598199791082}"
RN_DAILY,poisson,5,0.06546007702232282,"[3.571513353115727, 1.88984479603901, 0.23857566765578636, 0.0016109026441128993, 93.18673932124385, 11.844669784506198, -0.2858298040887844, 1.3336328474032881]","{""colsample_bytree"": 0.6979871141160848, ""learning_rate"": 0.03789336892145209, ""max_depth"": 25, ""n_estimators"": 483, ""reg_alpha"": 3.0242748429002044, ""reg_lambda"": 0.0001570068120320862, ""subsample"": 0.55440157912752}"
RN_DAILY,rf,6,0.266208586629946,"[2.998813056379822, 1.731708132561553, 0.27922848664688427, -0.1589996857659185, 69.55009155479294, 18.011050461500957, -0.5154079788550457, 1.6358249160398224]","{""max_depth"": 21, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""n_estimators"": 352}"
RN_DAILY,zip,5,0.17065173616506685,"[3.0264094955489615, 1.7396578673834007, 0.30979228486646887, -0.1512604190705129, 81.72943747160237, 16.846748030514323, -0.5074476307627905, 2.1403242306501338]","{""clf_colsample"": 0.7165276786701568, ""clf_learning_rate"": 0.06648467354197245, ""clf_max_depth"": 23, ""clf_n_estimators"": 189, ""clf_subsample"": 0.6304570279577998, ""reg_alpha"": 0.006761415929283781, ""reg_colsample"": 0.8182280054927445, ""reg_lambda"": 0.5996369799111504, ""reg_learning_rate"": 0.043263642457374706, ""reg_max_depth"": 21, ""reg_n_estimators"": 596, ""reg_subsample"": 0.3330864477144506}"
RN_WEEKLY_CASESONLY,poisson,4,0.14228411841276728,"[29.004556962025315, 5.385587893816729, 0.9113924050632911, -0.05345595803717995, 68.37278403088655, 22.07169648842103, -0.6873973893966648, 4.335728864291129]","{""colsample_bytree"": 0.8339778743043214, ""learning_rate"": 0.02975052260406487, ""max_depth"": 24, ""n_estimators"": 690, ""reg_alpha"": 1.0888337455889863, ""reg_lambda"": 0.0036372589514911415, ""subsample"": 0.5280191803266436}"
RN_WEEKLY_CASESONLY,rf,7,0.06599555917044408,"[11.458227848101266, 3.3850004206944004, 0.5974683544303797, -0.6260685065704452, 62.144647247699226, 19.990920268713527, -0.7399476992788437, 1.8288484030401608]","{""max_depth"": 10, ""min_samples_leaf"": 2, ""min_samples_split"": 12, ""n_estimators"": 266}"
RN_WEEKLY_CASESONLY,zip,3,0.2121444750587654,"[21.60405063291139, 4.648015773737369, 0.7878481012658228, -0.294966462145283, 76.31368865081818, 19.129961862339957, -0.7556007184271523, 3.1726386194332328]","{""clf_colsample"": 0.7213457570463113, ""clf_learning_rate"": 0.03665128099295147, ""clf_max_depth"": 5, ""clf_n_estimators"": 343, ""clf_subsample"": 0.6239988674523904, ""reg_alpha"": 0.06965850098115457, ""reg_colsample"": 0.9739339493398605, ""reg_lambda"": 1.8902116340904718e-06, ""reg_learning_rate"": 0.12409445607749915, ""reg_max_depth"": 38, ""reg_n_estimators"": 640, ""reg_subsample"": 0.3233903442759638}"
RN_WEEKLY,poisson,5,0.05718279505043125,"[19.574, 4.424251349098512, 0.87, 0.03572910905707882, 76.82421227197347, 23.97333333218916, -0.3997056305769117, 5.319333095406197]","{""colsample_bytree"": 0.629771544663561, ""learning_rate"": 0.03785897053574964, ""max_depth"": 22, ""n_estimators"": 471, ""reg_alpha"": 3.599242463143542, ""reg_lambda"": 0.00019890834896496053, ""subsample"": 0.5487524726109031}"
RN_WEEKLY,rf,9,0.2685249087639125,"[13.308, 3.6480131578710076, 0.732, -0.29582696519200946, 89.59694181804107, 18.280804641008594, -0.836748202299795, 1.8595175010476823]","{""max_depth"": 19, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 184}"
RN_WEEKLY,zip,7,0.05446889854219666,"[11.564, 3.400588184417513, 0.664, -0.3881081323625186, 85.81725630152022, 17.022982947763506, -0.839992747080674, 1.6527486227940498]","{""clf_colsample"": 0.6327713336402302, ""clf_learning_rate"": 0.036828535924085505, ""clf_max_depth"": 46, ""clf_n_estimators"": 574, ""clf_subsample"": 0.6669784221319759, ""reg_alpha"": 0.0027067599597947085, ""reg_colsample"": 0.9663006742973037, ""reg_lambda"": 0.060581921862851704, ""reg_learning_rate"": 0.03729704251259084, ""reg_max_depth"": 29, ""reg_n_estimators"": 617, ""reg_subsample"": 0.7537649400213995}"
