epoch,train_loss,train_mae_all28_activecells,train_mae_all28_allcells,train_mae_h14_allcells,train_mae_h1_allcells,train_mae_h21_allcells,train_mae_h28_allcells,train_mae_h7_allcells,train_rmse_all28_activecells,train_rmse_all28_allcells,val_loss,val_mae_all28_activecells,val_mae_all28_allcells,val_mae_h14_allcells,val_mae_h1_allcells,val_mae_h21_allcells,val_mae_h28_allcells,val_mae_h7_allcells,val_rmse_all28_activecells,val_rmse_all28_allcells
1,0.10852961987257004,0.12965162004743302,0.025836383109484915,0.03324036371140253,0.019741597113671242,0.029712608882359097,0.0381275276084999,0.015986272266932895,0.422576044096308,0.14324709691628978,0.012921011075377464,0.17965960911342077,0.10327396616938679,0.11269580130969291,0.11779221208580645,0.10016034279034768,0.09533468469396814,0.09962318882797704,0.4055390225412481,0.16145547192355067
2,0.08583249151706696,0.21304391043526785,0.09512032796072975,0.08926569951045049,0.1911985223943537,0.06433953041638131,0.06568991260611133,0.10802631460743033,0.48020231615348763,0.21297008022971667,0.013647637329995632,0.18572797502790178,0.10803492539593963,0.11663969461019937,0.12206177484421503,0.10130046662830171,0.10014757759127266,0.10581347643038927,0.40423312719907,0.16369407436675237
3,0.07113374024629593,0.2080965096609933,0.08708045596168154,0.08208848697282535,0.179620784082454,0.056269872756231396,0.06325344399456338,0.10228862184466737,0.4859095301220678,0.2063807474920482,0.01428572554141283,0.19068246023995536,0.11194399690362651,0.11940405379126082,0.12520331015318503,0.10197063132281943,0.10508781697326924,0.1112109510413496,0.4032752820438681,0.16565241209633957
4,0.0705985277891159,0.12048229762486048,0.022053357031733146,0.03005917454178715,0.013383856067409763,0.023695312021098612,0.037850450127671804,0.012319544177034717,0.41977309968319065,0.141495011228514,0.014805496670305729,0.19419008527483259,0.11475296350784632,0.1208082339464328,0.12786444131430094,0.1022216169349043,0.10950408869491511,0.11545373660661441,0.4027271762208218,0.16728551104807174
5,0.04123062640428543,0.296562020438058,0.11086836079424668,0.0980059305826823,0.1624829676244166,0.06249984311851072,0.11662135598979471,0.1456094551912118,0.6238107756834735,0.2501322361751713,0.015001771971583366,0.19551337105887276,0.1154947652445211,0.12055945293211834,0.12879080173773166,0.10155844585204021,0.11159882813821108,0.11764166365454207,0.4023274013885502,0.16787323092412657
