Dataset,Variant,Model,Seed,Conjunto,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson
RN,WEEKLY_CASESONLY,rf,987,Treino,0.4398422090729783,0.6632060080193622,0.0707593688362919,0.894230818282963,39.04206610150896,5.986737520429431,0.6797161994135116,0.952825573406906
RN,WEEKLY_CASESONLY,rf,987,Validação,56.99269539810081,7.549350660692667,1.108108108108108,0.6488818499863194,68.78268770014137,17.429712252563455,2.103873439394589,0.8678004712251659
RN,WEEKLY_CASESONLY,rf,987,Teste,50.41449491188881,7.100316536034771,1.0191114420451726,0.5412871280017326,76.14161616654656,22.15250528728811,2.652169262200989,0.7692984437572586
RN,DAILY_FULL,xgb_zip,987,Treino,0.0200698394412844,0.1416680607663014,0.0030419756641946,0.9098491268337,0.0295907622393772,0.2199938134569645,0.0058366897782516,0.9563204327287508
RN,DAILY_FULL,xgb_zip,987,Validação,3.179616038179254,1.7831477892141343,0.2405365342203261,0.3852162106217718,52.93273623102724,8.62052664910613,0.5570626569278242,0.6294870414964514
RN,DAILY_FULL,xgb_zip,987,Teste,2.628945370403847,1.621402285185218,0.2081058606601829,0.3137755864470762,52.17954690412587,9.26062722566621,0.4337127450397581,0.5602228987385296
RJ,WEEKLY_FULL,xgb_zip,987,Treino,0.0022456808921477,0.0473886156386507,0.0020500344507864,0.9998398470725368,0.6414562411037067,0.0196639663604758,0.0002022131586771,0.9999240466688868
RJ,WEEKLY_FULL,xgb_zip,987,Validação,0.585711245877221,0.7653177417760685,0.0610277689115863,0.75370579113002,35.13770101678168,2.3617280177267284,0.2716585048741606,0.8688203657390522
RJ,WEEKLY_FULL,xgb_zip,987,Teste,1.2083045740892906,1.099229081715586,0.1399945220487537,0.7789252985573777,32.97043292364785,5.916682853744968,0.628616047124628,0.8882933113301332
RN,WEEKLY_FULL,xgb_poisson,987,Treino,0.1515688259109311,0.3893184119855252,0.0131578947368421,0.9623909031425726,1.5103665595822409,0.1168249168052083,0.0030220179039332,0.9947804749228326
RN,WEEKLY_FULL,xgb_poisson,987,Validação,165.62604509754243,12.869578279708408,1.9954395743602733,0.0183148934878137,66.2700631455729,21.87621884521561,13.39536492424246,0.3328278706182699
RN,WEEKLY_FULL,xgb_poisson,987,Teste,109.89124257297856,10.482902392609528,1.4174631878067685,0.0384492209851347,58.82045309133767,22.85041485943176,9.623505183202075,0.2949842134595757
RN,DAILY_FULL,xgb_poisson,987,Treino,0.0090179278565771,0.0949627708977425,0.0021779825761393,0.9594927466759496,2.2402549035930783,0.0589226918410213,0.0023560143346603,0.993855674006577
RN,DAILY_FULL,xgb_poisson,987,Validação,4.282475866806465,2.0694143777422798,0.2536968075490798,0.1719765186416312,56.44797689157864,8.475957588608482,2.363052191551295,0.534708055285555
RN,DAILY_FULL,xgb_poisson,987,Teste,3.320438193716331,1.822206956883968,0.1905347264904732,0.1332776337335242,51.76804143513171,8.065027374622252,2.88746614698762,0.4161406834567292
RJ,WEEKLY_FULL,rf,987,Treino,0.5358458306042072,0.732014911463016,0.0643294005563164,0.9617856309236446,50.017471694473336,3.980393978764364,0.4214895964691623,0.9818653815960584
RJ,WEEKLY_FULL,rf,987,Validação,0.5714916480476646,0.755970666129093,0.0800457495478242,0.759685195866623,59.5745847204004,5.516727658913177,0.5878067546040897,0.8718433359980274
RJ,WEEKLY_FULL,rf,987,Teste,1.2868583949602848,1.1343978115988609,0.1793700356066831,0.7645528771756898,48.89057827621149,12.302836544819774,1.1346645397551376,0.8746927748473123
RN,DAILY_FULL,rf,987,Treino,0.0288717690258477,0.1699169474356451,0.0134998920008639,0.8703121071222015,53.19979306222692,1.7210646541964765,0.2575511163425664,0.9470943156591716
RN,DAILY_FULL,rf,987,Validação,2.4768791351820383,1.573810387302752,0.2330525326295238,0.5210915021578981,77.45226289564613,9.70406672864229,0.9305303473676498,0.7297007361603214
RN,DAILY_FULL,rf,987,Teste,2.0013015654940527,1.4146736604228032,0.2079612422719548,0.4776072532413491,82.04969687095777,11.0167387965318,0.9792781054228774,0.7018552057207958
RN,DAILY_CASEONLY,rf,987,Treino,0.0347083377179136,0.1863017383652488,0.0146444982286295,0.8454614251969026,55.93205962806147,1.8620508620731688,0.2815087454973141,0.933483070391838
RN,DAILY_CASEONLY,rf,987,Validação,2.2545090180360723,1.5015022537565743,0.205498716731709,0.5519602672592308,68.10659747512683,9.073811632222393,0.8857885423908411,0.7476353587604251
RN,DAILY_CASEONLY,rf,987,Teste,1.8018844706957773,1.3423429035443133,0.1778645009316879,0.5165195062641861,70.31301609620985,10.313817130270904,0.9683181897067448,0.7269476189536576
RN,DAILY_CASEONLY,xgb_poisson,987,Treino,0.0013855273773194,0.0372226728932708,0.0010698375951453,0.9938309512837572,2.3976054890905205,0.0584738809927621,0.0072495141593906,0.998320364744272
RN,DAILY_CASEONLY,xgb_poisson,987,Validação,2.895053264423584,1.7014856051179463,0.203354076574201,0.4246645808529294,50.91486276972464,6.437894397609734,1.7995348278471115,0.6538917858019256
RN,DAILY_CASEONLY,xgb_poisson,987,Teste,2.354006258130296,1.5342771125615788,0.1623949653693351,0.3683745398512923,49.28942171645402,6.296510589432708,1.4709855525837352,0.6083514771330182
RJ,WEEKLY_CASESONLY,xgb_poisson,987,Treino,0.016475686271981,0.1283576498381807,0.0101497965526802,0.9988965954725108,6.889713682289771,0.4824416027458957,0.0314729354772294,0.9994598087110452
RJ,WEEKLY_CASESONLY,xgb_poisson,987,Validação,0.3904335967269664,0.6248468586197473,0.0455858168545184,0.8133356119121096,24.337624221624207,2.066759271120624,0.2023510830420557,0.9037632000339576
RJ,WEEKLY_CASESONLY,xgb_poisson,987,Teste,0.8114635817646821,0.9008127340156122,0.1039622717562175,0.8209644897559816,23.755589913845053,5.047097342871893,0.4376283776870093,0.9108715656764876
RJ,DAILY_FULL,rf,987,Treino,0.0672630045724009,0.2593511221730126,0.0153740944183797,0.8550786051125104,64.19064512119958,1.3744368806165594,0.1721466308529337,0.9302945720015064
RJ,DAILY_FULL,rf,987,Validação,0.0410947361513774,0.202718366586201,0.0151841213596287,0.6285516498055731,67.07794938836926,1.7605359051479874,0.229268110989346,0.7957802670681015
RJ,DAILY_FULL,rf,987,Teste,0.0809348612876803,0.2844905293461988,0.0345212264963216,0.650434069853574,62.83692241469894,4.311274198959644,0.5555822465227163,0.80826165410986
