ID_UNIDADE,TOTAL_CASES,LAT,LNG,DIST_KM,LEVEL
6926797,120,-22.87511,-43.27102,14.462232262817833,3
2296306,386,-22.90223,-43.27725,14.472815197480271,3
6694101,1,-22.90223,-43.27725,14.472815197480271,3
2277549,1,-22.77974,-43.30138,14.475897899772027,3
9131795,13,-22.8985,-43.27561,14.509251498155052,3
7544243,8,-22.86196,-43.55378,14.589560977887365,3
6664164,77,-22.84159,-43.27056,14.597406171644925,3
5476585,2,-22.84159,-43.27056,14.597406171644925,3
2270013,101,-22.9846,-43.46114,14.617250267518632,3
5465877,21,-22.9846,-43.46114,14.617250267518632,3
7427549,2826,-22.78164,-43.29714,14.688304370615494,3
7625987,996,-22.78164,-43.29714,14.688304370615494,3
6007317,211,-22.78164,-43.29714,14.688304370615494,3
6444547,2,-22.78164,-43.29714,14.688304370615494,3
6512925,1229,-22.8596,-43.26748,14.74640242092688,3
3784975,318,-22.8596,-43.26748,14.74640242092688,3
6524486,30,-22.8596,-43.26748,14.74640242092688,3
6716938,490,-22.9876,-43.36543,14.802312277918153,3
7458940,177,-22.9876,-43.36543,14.802312277918153,3
7251491,168,-22.9876,-43.36543,14.802312277918153,3
2270609,15,-22.9876,-43.36543,14.802312277918153,3
5466032,9,-22.9876,-43.36543,14.802312277918153,3
7873565,7,-22.9876,-43.36543,14.802312277918153,3
9482563,1,-22.9876,-43.36543,14.802312277918153,3
2277964,1,-22.78958,-43.28922,14.85014540459099,3
6033121,16,-22.9063,-43.27432,14.903405080000296,3
6919626,105,-22.88103,-43.2673,14.923019196626845,3
6820018,34,-22.88103,-43.2673,14.923019196626845,3
9715444,137,-22.87788,-43.55612,14.94126402885048,3
9107835,19,-22.85445,-43.26485,15.034629207869362,3
5955653,283,-22.88317,-43.55664,15.077097245291784,3
7333560,5,-22.88317,-43.55664,15.077097245291784,3
7505337,1,-22.88317,-43.55664,15.077097245291784,3
3333868,116,-22.99701,-43.40927,15.081962399775794,3
2269546,149,-22.87525,-43.55823,15.123379406527485,3
2280744,44,-22.91217,-43.27401,15.163805794664647,3
3146685,6,-22.90921,-43.55015,15.177031269966509,3
6473113,2,-22.90921,-43.55015,15.177031269966509,3
