,CASES,TEM_AVG_ERA5,TEM_MIN_ERA5,TEM_MAX_ERA5,RAIN_ERA5,IDEAL_TEMP_ERA5,EXTREME_TEMP_ERA5,SIGNIFICANT_RAIN_ERA5,EXTREME_RAIN_ERA5,TEM_AVG_ERA5_MM_7,CASES_MM_7,CASES_ACC_7,RAIN_ERA5_ACC_7,RAIN_ERA5_MM_7,TEM_AVG_ERA5_MM_14,CASES_MM_14,CASES_ACC_14,RAIN_ERA5_ACC_14,RAIN_ERA5_MM_14,TEM_AVG_ERA5_MM_21,CASES_MM_21,CASES_ACC_21,RAIN_ERA5_ACC_21,RAIN_ERA5_MM_21,TEM_AVG_ERA5_MM_28,CASES_MM_28,CASES_ACC_28,RAIN_ERA5_ACC_28,RAIN_ERA5_MM_28,TEMP_RANGE_ERA5,TEMP_RANGE_ERA5_MM_7,TEMP_RANGE_ERA5_MM_14,TEMP_RANGE_ERA5_MM_21,TEMP_RANGE_ERA5_MM_28
27,0,28.853969855646596,24.10211120189149,34.34664018196821,0.0028812835918201815,0,0,0,0,27.04806412648261,0.0,0.0,0.49050323193888523,0.0700718902769836,24.891310215782376,0.0,0.0,2.030152977997613,0.14501092699982948,24.856366612514584,0.0,0.0,2.7064046364257646,0.12887641125836974,24.956771306752362,0.0,0.0,3.130305621107053,0.11179662932525189,10.244528980076723,8.491004262504118,6.645127437360401,6.536930129419137,6.800516413309111
28,0,26.740142842476246,24.65782617095107,29.456008567412482,0.3137271868626723,1,0,0,1,26.999090075747112,0.0,0.0,0.7999231724423155,0.11427473892033078,25.07546009168795,0.0,0.0,2.1902200946461523,0.15644429247472516,24.86362562412441,0.0,0.0,3.002930797905731,0.14299670466217768,25.00868699708671,0.0,0.0,3.423828872759154,0.12227960259854122,4.798182396461414,7.633372676789861,6.6645495420020655,6.457914533701969,6.650250017459642
29,0,25.484006085961255,23.829861850076952,28.044798444149194,0.4714149028934156,1,0,0,1,26.94195671792622,0.0,0.0,1.073050962512144,0.153292994644592,25.286011891090787,0.0,0.0,2.341429466104118,0.16724496186457988,24.837038246502964,0.0,0.0,3.422472810127391,0.16297489572035195,25.00201014283216,0.0,0.0,3.6558092489725813,0.13056461603473504,4.214936594072242,7.283337795885481,6.639519304645124,6.336073197249933,6.557679411211312
30,0,26.864498936852158,23.545036685506943,31.35529618032075,0.06639674085876254,1,0,1,0,27.196766638281247,0.0,0.0,0.9501245839440935,0.1357320834205848,25.64996797012426,0.0,0.0,2.343875970852146,0.1674197122037247,24.936341174648437,0.0,0.0,3.4630582268931027,0.16490753461395727,25.072109272853286,0.0,0.0,3.6342422611166807,0.12979436646845288,7.810259494813806,7.664302378431712,6.82825360650049,6.37166420400578,6.613627211394706
31,0,27.372338372322133,24.43521319962963,31.731040808668183,0.12852610462746888,0,0,1,0,27.39144172767663,0.0,0.0,1.0121770575635762,0.14459672250908231,26.115189512205607,0.0,0.0,2.070519633530577,0.14789425953789834,25.06778662406429,0.0,0.0,3.559930754089231,0.1695205120994872,25.177451645389713,0.0,0.0,3.747239351606382,0.1338299768430851,7.295827609038554,7.541528518507026,7.264266776411156,6.412506644572288,6.649855035719467
32,0,24.958377794721514,23.21817595789645,27.67272718351944,0.26096306126504754,1,0,0,1,26.9737865086243,0.0,0.0,1.2517143292467525,0.17881633274953607,26.40497790722845,0.0,0.0,1.7993832901294131,0.12852737786638666,25.088890273365482,0.0,0.0,3.7625272020799,0.17916796200380475,25.206840462304463,0.0,0.0,3.9676785082250965,0.14170280386518203,4.454551225622993,6.828202372499496,7.393520483911017,6.307141460964322,6.633406741405851
33,0,22.63917465251484,21.131304291140793,24.364554380790253,0.334103351462801,1,0,0,1,26.13035836292782,0.0,0.0,1.5780126315619882,0.2254303759374269,26.356737756256052,0.0,0.0,2.0906420524420373,0.14933157517443124,25.052877447584653,0.0,0.0,4.0272756389428945,0.19177503042585212,25.111261203688247,0.0,0.0,4.283255527733117,0.15297341170475418,3.2332500896494594,6.007362341390741,7.1530196063403935,6.280965730396198,6.392714976211424
34,0,21.880544112098903,19.700158645769363,24.898759416325788,0.08678865434012595,1,0,1,0,25.13415468527815,0.0,0.0,1.661920002310294,0.23741714318718485,26.09110940588038,0.0,0.0,2.152423234249179,0.1537445167320842,24.972258372280965,0.0,0.0,3.6920729803079073,0.1758129990622813,24.925813630705477,0.0,0.0,4.368324638736058,0.1560115942405735,5.198600770556425,5.2865154543164135,6.888759858410266,6.192256776345738,6.224326460643455
35,0,22.55261506140431,18.881490951630553,26.73588870614924,0.011036413053131383,1,0,1,0,24.535936430839303,0.0,0.0,1.359229228500753,0.19417560407153614,25.767513253293206,0.0,0.0,2.1591524009430683,0.15422517149593346,24.895618871405066,0.0,0.0,3.5494493231469053,0.1690213963403288,24.781703325803132,0.0,0.0,4.362160026406484,0.1557914295145173,7.854397754518686,5.723117648324595,6.678245162557228,6.350738910776242,6.274215312357626
36,0,24.114482059660872,21.228155603170592,28.55443959963992,0.040096137576877064,1,0,1,0,24.34029014136782,0.0,0.0,0.9279104631842144,0.13255863759774492,25.64112342964702,0.0,0.0,2.0009614256963584,0.14292581612116845,24.970771307849798,0.0,0.0,3.2693399292883325,0.15568285377563487,24.712851220219175,0.0,0.0,4.350383273311605,0.1553708311897002,7.3262839964693285,6.167595848667036,6.725466822276259,6.482211485985761,6.293953860104208
