Conjunto,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson
Treino,6.885816182677949e-06,0.0026240838749319634,6.885816182677949e-06,0.999987448802753,0.00854382770450006,8.569256883939724e-05,9.187353314786244e-07,0.9999937344864962
Validação,0.014362464471073687,0.11984349991165014,0.004066104170754573,0.8590579265590098,8.937777177957297,0.23751259100456096,0.012148871086537838,0.9298410676689522
Teste,0.02677229369028194,0.16362241194372468,0.007896764473860986,0.8687355459299422,7.042384915733145,0.4963222164259438,0.023335909144405156,0.9343406731867439
