Conjunto,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson
Treino,6.209030302076613,2.4917925880932814,0.20287232424323487,0.6406699234393003,84.64463461572304,10.818296619380964,1.3241266886077185,0.8117487630834812
Validação,1.520980011654077,1.2332801837595855,0.1458523781266873,0.36291710355254503,81.86527189201631,10.688328678228208,1.2015116862279092,0.620090641204137
Teste,2.5584700179294773,1.5995218091446823,0.307722956371605,0.5365675337000853,66.1111911072382,23.273355829616154,2.3473493249350637,0.7333252908325983
