Conjunto,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson
Treino,1.6935892200898326,1.301379737082852,0.15124540628828093,0.41518048852153033,78.62350443622616,11.828935219925087,1.7230844580979,0.6585049257289332
Validação,115.67973535898064,10.755451425160203,1.5704484195050232,0.29173057926264123,78.90476644170302,24.3939170965686,5.6972204773559785,0.698605324855177
Teste,82.68790604697651,9.093289066502644,1.2716141929035483,0.252098092900216,89.588908063868,30.442919283282155,6.005743997954079,0.5922567751234487
