Feature,Importance
CASES_MM_7_t-0,0.12201224350206837
CASES_ACC_7_t-0,0.11413213971867861
CASES_MM_14_t-0,0.09248309993948398
CASES_ACC_14_t-0,0.08074671300439296
CASES_MM_28_t-0,0.07016448781249777
CASES_ACC_28_t-0,0.06929619393635207
CASES_ACC_21_t-0,0.06041095155201858
CASES_MM_21_t-0,0.047632451097936825
CASES_LAG_1_t-0,0.034840761690820406
CASES_LAG_2_t-0,0.02620391406157922
WEEK_OF_YEAR_t-0,0.017856919342932407
CASES_LAG_5_t-0,0.016457584633284495
CASES_LAG_4_t-0,0.014811703024320711
CASES_LAG_3_t-0,0.01241263678422261
RAIN_ACC_28_t-0,0.012342991512333392
RAIN_MM_7_t-0,0.012295458560638513
RH_MM_7_t-0,0.011978039905210064
CASES_LAG_6_t-0,0.011022155703045072
RH_MM_28_t-0,0.01058259657717396
RAIN_MM_28_t-0,0.009802680141455973
RAIN_MM_21_t-0,0.009667831691025067
RAIN_ACC_21_t-0,0.009203636756965627
TEMP_RANGE_MM_14_t-0,0.008644109605002412
TEM_AVG_MM_28_t-0,0.008535025816086552
RAIN_ACC_7_t-0,0.007659664750894434
RH_MM_21_t-0,0.0074976757326703945
TEMP_RANGE_MM_7_t-0,0.007477687450715442
TEM_AVG_MM_21_t-0,0.007053775390568335
TEM_AVG_MM_14_t-0,0.007020920066432547
TEM_AVG_MM_7_t-0,0.006836886570614366
TEM_MAX_t-0,0.0067814089229143145
TEMP_RANGE_t-0,0.0066648438209194714
RH_MIN_t-0,0.006300649459928374
TEM_AVG_t-0,0.00629208333273592
TEMP_RANGE_MM_28_t-0,0.006119912653600287
RAIN_ACC_14_t-0,0.005632472870725539
RAIN_MM_14_t-0,0.005499044714196354
RH_MAX_t-0,0.005421646502634141
TEM_MIN_t-0,0.0052897709365898465
TEMP_RANGE_MM_21_t-0,0.004861500331501328
RH_MM_14_t-0,0.004587051284563856
RH_AVG_t-0,0.004547879089482029
RAIN_t-0,0.004386219933444329
EXTREME_RAIN_t-0,0.00022675437113526344
SIGNIFICANT_RAIN_t-0,0.00019256946143011796
IDEAL_TEMP_t-0,0.00011325598277767783
EXTREME_TEMP_t-0,0.0
