Conjunto,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson
Treino,0.028871769025847795,0.16991694743564514,0.013499892000863992,0.8703121071222015,53.19979306222692,1.7210646541964765,0.2575511163425664,0.9470943156591716
Validação,2.4768791351820383,1.573810387302752,0.23305253262952386,0.5210915021578981,77.45226289564613,9.70406672864229,0.9305303473676498,0.7297007361603214
Teste,2.0013015654940527,1.4146736604228032,0.20796124227195487,0.4776072532413491,82.04969687095777,11.016738796531799,0.9792781054228774,0.7018552057207958
