Variable,BW,Coef_Mean,Coef_Std,Coef_P25,Coef_P75,Coef_Min,Coef_Max
Intercept,304.0,-0.3884183124697257,0.009055520514705921,-0.39662839223684765,-0.38014872157275204,-0.4097758121115682,-0.3748842164966063
TEM_AVG,220.0,0.06577416002268993,0.026674960063673835,0.055177230784288246,0.08924536049790927,-0.020878451695408164,0.10054387626723667
RAIN,126.0,-0.11921646808298404,0.12795914503282346,-0.15876246599297708,-0.02876316358132233,-0.48052614776336317,0.05004676238915505
MODEL_STATS,,488.9298605318219,0.11886543953754691,,,,
