ID_UNIDADE,LAT,LNG,Y_MEAN,N_OBS,coef_Intercept,t_Intercept,coef_TEM_AVG,t_TEM_AVG,coef_RAIN,t_RAIN
2269295,-22.8534,-43.32589,0.47619047619047616,21,-0.38228298163654584,-8.158119395096827,0.03748729024111098,0.706019822587653,-0.034581330421098073,-0.4987757491910915
2269309,-22.83755,-43.33209,0.047619047619047616,21,-0.3820121871148479,-8.14972734427923,0.037728818416224136,0.7071201819028952,-0.05275282173117235,-0.7897126423977916
2269384,-22.92704,-43.2521,0.19047619047619047,21,-0.3788482770967668,-8.08740108062722,0.07437930481439198,1.4193961051404331,-0.06447280196417773,-1.0252738431506694
2269503,-22.88482,-43.28891,0.14285714285714285,21,-0.3801494491344332,-8.122423965971361,0.06326162527052613,1.215770308709313,-0.03618356496373968,-0.6009971371278098
2269511,-22.92348,-43.51843,0.0,21,-0.4010867854424913,-8.50563328987988,0.10054387626723667,1.7945444587732646,-0.16925024663579782,-3.2663838221776107
2269538,-22.90818,-43.59559,0.3333333333333333,21,-0.39649782659277005,-8.397780851337393,0.09476185209564822,1.7414651164538362,-0.14644875993296047,-2.6668234366527748
2269546,-22.87525,-43.55823,0.047619047619047616,21,-0.3955757856934597,-8.428954388655624,0.09244529962635477,1.7326222807837546,-0.15704117281402905,-2.830032754891581
2269554,-22.89785,-43.56925,0.09523809523809523,21,-0.39671227594828473,-8.422647328311983,0.09471985251914772,1.7496388750014538,-0.15278317442431374,-2.791213255763211
2269627,-22.8236,-43.362,0.09523809523809523,21,-0.38489949996423284,-8.175670615809823,0.01827998710322807,0.3263521331284293,-0.11606852634076816,-1.5304072247540326
2269732,-22.84962,-43.35009,0.7619047619047619,21,-0.3852806611767196,-8.198230409655627,0.0011231487672795735,0.01964709830354379,-0.0488619760727756,-0.647667162129107
2269759,-22.82963,-43.4154,0.0,21,-0.3942602507322486,-8.232300060506585,0.06047528175172697,1.2798053433318,-0.40421811497312954,-4.661643109250426
2269805,-22.89831,-43.28207,0.8095238095238095,21,-0.38014061473616884,-8.119473115433955,0.06591332316415577,1.2640753724427523,-0.04530115790005598,-0.7325106334433922
2269848,-22.88759,-43.48282,0.14285714285714285,21,-0.4004174252334935,-8.497011978641336,0.09739764471544723,1.7829313067068726,-0.2685562280649172,-4.753580198540471
2269880,-22.86646,-43.25233,0.0,21,-0.3767920128376261,-8.062526968940109,0.07609948127512857,1.476836467074757,-0.0480956300273936,-0.7953232612785003
2269902,-22.81634,-43.29057,0.2857142857142857,21,-0.3773010825344989,-8.072136521681943,0.071900088926804,1.4062121344005305,0.011017843895294348,0.1827822416762708
2269937,-22.87977,-43.33736,0.47619047619047616,21,-0.38563443213803456,-8.213688592561029,0.02435582820922012,0.4538309428793035,0.027614210260597186,0.4074290336675894
2269945,-22.86436,-43.37122,0.0,21,-0.3906141838177505,-8.266338836600152,-0.01867751537415865,-0.3175713292022739,-0.09738428156316621,-1.3719002268815468
2270013,-22.9846,-43.46114,0.19047619047619047,21,-0.4093194656172881,-8.64963650886142,0.09231257211901053,1.668985990768457,-0.11959527995156373,-1.9707426903768497
2270161,-22.84238,-43.48433,0.0,21,-0.3953372744426265,-8.436092089404509,0.08927007448068451,1.720095032764654,-0.3548405100517815,-4.968239281818342
2270196,-22.85001,-43.48578,0.0,21,-0.396112623647338,-8.44725484292178,0.09101936717604948,1.7405836368276757,-0.3314299141615387,-4.979445160058384
2270234,-22.82895,-43.27662,0.047619047619047616,21,-0.3769037185286457,-8.066062879817833,0.07374649727832999,1.441409708557759,-0.003687939579335735,-0.06261892476611976
2270331,-22.91856,-43.55863,0.0,21,-0.39847858361793137,-8.436280798966036,0.09745887596514376,1.7719393348151644,-0.15446523386308164,-2.887960975504514
2270366,-22.87484,-43.5331,0.0,21,-0.3964005845862792,-8.44962468704124,0.09342850173417801,1.751632782339612,-0.17238302020599497,-3.150913431944864
2270390,-22.86631,-43.33444,0.0,21,-0.3842291206812339,-8.190323845896616,0.025036028942229033,0.46503678598168224,0.0014098406201593708,0.02007632464944492
