Conjunto,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson
Treino,0.23092066736327205,0.48054205576959863,0.026244990756582348,0.6633156118168988,76.81986090979031,2.4042883684966667,0.4403525307091214,0.8442320042599012
Validação,0.07531550110721784,0.2744366978143008,0.02098403160494054,0.26139976405095644,83.97961632536276,2.410553538987598,0.4721384766077554,0.5128862853793469
Teste,0.13955408373291017,0.3735693827562829,0.04741568640978762,0.31669430118679,81.09016755602025,5.90015737133001,1.105842330886191,0.5647688566296979
