Conjunto,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson
Treino,0.43984220907297833,0.6632060080193622,0.07075936883629191,0.894230818282963,39.04206610150896,5.986737520429431,0.6797161994135116,0.952825573406906
Validação,56.99269539810081,7.549350660692667,1.1081081081081081,0.6488818499863194,68.78268770014137,17.429712252563455,2.103873439394589,0.8678004712251659
Teste,50.41449491188881,7.100316536034771,1.0191114420451726,0.5412871280017326,76.14161616654656,22.15250528728811,2.652169262200989,0.7692984437572586
